 time            v(vin)          v(b3_collector) v(vout_drv)     v(vout_final)   i(vdd)         
 1.09640000e-03  2.50056934e+00  3.77981550e+00  2.44997073e+00  2.45346959e+00 -3.35300537e-05 
 1.10140000e-03  2.50059488e+00  3.77732516e+00  2.44748806e+00  2.45092110e+00 -3.35480358e-05 
 1.10640000e-03  2.50061983e+00  3.77488771e+00  2.44505849e+00  2.44842227e+00 -3.35656388e-05 
 1.11140000e-03  2.50064418e+00  3.77250560e+00  2.44268443e+00  2.44597560e+00 -3.35828452e-05 
 1.11640000e-03  2.50066788e+00  3.77018118e+00  2.44036826e+00  2.44358353e+00 -3.35996377e-05 
 1.12140000e-03  2.50069093e+00  3.76791680e+00  2.43811229e+00  2.44124844e+00 -3.36159994e-05 
 1.12640000e-03  2.50071330e+00  3.76571472e+00  2.43591878e+00  2.43897269e+00 -3.36319140e-05 
 1.13140000e-03  2.50073496e+00  3.76357713e+00  2.43378992e+00  2.43675853e+00 -3.36473654e-05 
 1.13640000e-03  2.50075590e+00  3.76150617e+00  2.43172784e+00  2.43460818e+00 -3.36623382e-05 
 1.14140000e-03  2.50077609e+00  3.75950393e+00  2.42973460e+00  2.43252379e+00 -3.36768173e-05 
 1.14640000e-03  2.50079552e+00  3.75757239e+00  2.42781220e+00  2.43050745e+00 -3.36907882e-05 
 1.15140000e-03  2.50081416e+00  3.75571350e+00  2.42596257e+00  2.42856118e+00 -3.37042367e-05 
 1.15640000e-03  2.50083199e+00  3.75392912e+00  2.42418756e+00  2.42668692e+00 -3.37171495e-05 
 1.16140000e-03  2.50084901e+00  3.75222103e+00  2.42248894e+00  2.42488656e+00 -3.37295134e-05 
 1.16640000e-03  2.50086519e+00  3.75059095e+00  2.42086841e+00  2.42316189e+00 -3.37413161e-05 
