 time            v(vin)          v(b1_base)      v(b1_emitter)   v(b1_collector) v(b1_out)      
 2.11280000e-04  2.50097055e+00  1.13017620e+00  3.36411661e-01  3.36148533e+00  3.36148533e+00 
 2.12280000e-04  2.50097205e+00  1.13017768e+00  3.36413025e-01  3.36147869e+00  3.36147869e+00 
 2.13280000e-04  2.50097350e+00  1.13017912e+00  3.36414354e-01  3.36147223e+00  3.36147223e+00 
 2.14280000e-04  2.50097492e+00  1.13018052e+00  3.36415647e-01  3.36146593e+00  3.36146593e+00 
 2.15280000e-04  2.50097630e+00  1.13018189e+00  3.36416905e-01  3.36145981e+00  3.36145981e+00 
 2.16280000e-04  2.50097764e+00  1.13018322e+00  3.36418128e-01  3.36145387e+00  3.36145387e+00 
 2.17280000e-04  2.50097894e+00  1.13018450e+00  3.36419315e-01  3.36144809e+00  3.36144809e+00 
 2.18280000e-04  2.50098020e+00  1.13018575e+00  3.36420466e-01  3.36144249e+00  3.36144249e+00 
 2.19280000e-04  2.50098143e+00  1.13018696e+00  3.36421582e-01  3.36143706e+00  3.36143706e+00 
 2.20280000e-04  2.50098262e+00  1.13018814e+00  3.36422662e-01  3.36143181e+00  3.36143181e+00 
 2.21280000e-04  2.50098376e+00  1.13018927e+00  3.36423706e-01  3.36142673e+00  3.36142673e+00 
 2.22280000e-04  2.50098487e+00  1.13019036e+00  3.36424714e-01  3.36142182e+00  3.36142182e+00 
 2.23280000e-04  2.50098594e+00  1.13019142e+00  3.36425686e-01  3.36141709e+00  3.36141709e+00 
 2.24280000e-04  2.50098697e+00  1.13019243e+00  3.36426623e-01  3.36141253e+00  3.36141253e+00 
 2.25280000e-04  2.50098796e+00  1.13019341e+00  3.36427524e-01  3.36140815e+00  3.36140815e+00 
 2.26280000e-04  2.50098891e+00  1.13019435e+00  3.36428388e-01  3.36140394e+00  3.36140394e+00 
 2.27280000e-04  2.50098983e+00  1.13019525e+00  3.36429217e-01  3.36139991e+00  3.36139991e+00 
 2.28280000e-04  2.50099070e+00  1.13019611e+00  3.36430010e-01  3.36139605e+00  3.36139605e+00 
 2.29280000e-04  2.50099154e+00  1.13019693e+00  3.36430767e-01  3.36139237e+00  3.36139237e+00 
 2.30280000e-04  2.50099233e+00  1.13019771e+00  3.36431487e-01  3.36138887e+00  3.36138887e+00 
 2.31280000e-04  2.50099309e+00  1.13019846e+00  3.36432172e-01  3.36138554e+00  3.36138554e+00 
 2.32280000e-04  2.50099381e+00  1.13019916e+00  3.36432820e-01  3.36138238e+00  3.36138238e+00 
 2.33280000e-04  2.50099449e+00  1.13019982e+00  3.36433432e-01  3.36137940e+00  3.36137940e+00 
 2.34280000e-04  2.50099513e+00  1.13020045e+00  3.36434008e-01  3.36137660e+00  3.36137660e+00 
 2.35280000e-04  2.50099573e+00  1.13020103e+00  3.36434548e-01  3.36137397e+00  3.36137397e+00 
 2.36280000e-04  2.50099629e+00  1.13020158e+00  3.36435051e-01  3.36137152e+00  3.36137152e+00 
 2.37280000e-04  2.50099681e+00  1.13020209e+00  3.36435519e-01  3.36136925e+00  3.36136925e+00 
