 time            v(vin)          v(b3_collector) v(vout_final)   i(vdd)         
 1.02140000e-03  2.50013406e+00  3.82315601e+00  2.49323514e+00 -3.32169838e-05 
 1.02640000e-03  2.50016512e+00  3.82018874e+00  2.49027040e+00 -3.32383630e-05 
 1.03140000e-03  2.50019601e+00  3.81723173e+00  2.48731610e+00 -3.32596718e-05 
 1.03640000e-03  2.50022672e+00  3.81428790e+00  2.48437518e+00 -3.32808892e-05 
 1.04140000e-03  2.50025720e+00  3.81136018e+00  2.48145055e+00 -3.33019941e-05 
 1.04640000e-03  2.50028743e+00  3.80845147e+00  2.47854511e+00 -3.33229655e-05 
 1.05140000e-03  2.50031737e+00  3.80556466e+00  2.47566174e+00 -3.33437826e-05 
 1.05640000e-03  2.50034700e+00  3.80270261e+00  2.47280332e+00 -3.33644246e-05 
 1.06140000e-03  2.50037629e+00  3.79986817e+00  2.46997267e+00 -3.33848710e-05 
 1.06640000e-03  2.50040521e+00  3.79706416e+00  2.46717262e+00 -3.34051014e-05 
 1.07140000e-03  2.50043372e+00  3.79429337e+00  2.46440596e+00 -3.34250956e-05 
 1.07640000e-03  2.50046181e+00  3.79155855e+00  2.46167542e+00 -3.34448338e-05 
 1.08140000e-03  2.50048944e+00  3.78886243e+00  2.45898374e+00 -3.34642961e-05 
 1.08640000e-03  2.50051659e+00  3.78620770e+00  2.45633360e+00 -3.34834632e-05 
 1.09140000e-03  2.50054323e+00  3.78359700e+00  2.45372764e+00 -3.35023159e-05 
 1.09640000e-03  2.50056934e+00  3.78103294e+00  2.45116845e+00 -3.35208353e-05 
 1.10140000e-03  2.50059488e+00  3.77851807e+00  2.44865860e+00 -3.35390029e-05 
 1.10640000e-03  2.50061983e+00  3.77605491e+00  2.44620058e+00 -3.35568005e-05 
 1.11140000e-03  2.50064418e+00  3.77364591e+00  2.44379685e+00 -3.35742103e-05 
 1.11640000e-03  2.50066788e+00  3.77129349e+00  2.44144981e+00 -3.35912148e-05 
 1.12140000e-03  2.50069093e+00  3.76899998e+00  2.43916181e+00 -3.36077970e-05 
 1.12640000e-03  2.50071330e+00  3.76676769e+00  2.43693513e+00 -3.36239403e-05 
