 time            v(vin)          v(b3_collector) v(vout_final)   i(vdd)         
 1.28640000e-03  2.50097396e+00  3.73758476e+00  2.40773862e+00 -3.38365236e-05 
 1.29140000e-03  2.50096636e+00  3.73816651e+00  2.40832164e+00 -3.38323978e-05 
 1.29640000e-03  2.50095780e+00  3.73884037e+00  2.40899674e+00 -3.38276071e-05 
 1.30140000e-03  2.50094830e+00  3.73960564e+00  2.40976324e+00 -3.38221566e-05 
 1.30640000e-03  2.50093786e+00  3.74046156e+00  2.41062035e+00 -3.38160515e-05 
 1.31140000e-03  2.50092650e+00  3.74140728e+00  2.41156724e+00 -3.38092982e-05 
 1.31640000e-03  2.50091423e+00  3.74244184e+00  2.41260294e+00 -3.38019034e-05 
 1.32140000e-03  2.50090105e+00  3.74356420e+00  2.41372641e+00 -3.37938746e-05 
 1.32640000e-03  2.50088698e+00  3.74477323e+00  2.41493652e+00 -3.37852199e-05 
 1.33140000e-03  2.50087204e+00  3.74606773e+00  2.41623207e+00 -3.37759481e-05 
 1.33640000e-03  2.50085623e+00  3.74744639e+00  2.41761175e+00 -3.37660684e-05 
 1.34140000e-03  2.50083958e+00  3.74890782e+00  2.41907417e+00 -3.37555909e-05 
 1.34640000e-03  2.50082210e+00  3.75045057e+00  2.42061787e+00 -3.37445260e-05 
 1.35140000e-03  2.50080382e+00  3.75207308e+00  2.42224130e+00 -3.37328851e-05 
 1.35640000e-03  2.50078473e+00  3.75377373e+00  2.42394283e+00 -3.37206797e-05 
 1.36140000e-03  2.50076488e+00  3.75555082e+00  2.42572076e+00 -3.37079223e-05 
 1.36640000e-03  2.50074426e+00  3.75740255e+00  2.42757330e+00 -3.36946255e-05 
 1.37140000e-03  2.50072292e+00  3.75932708e+00  2.42949860e+00 -3.36808029e-05 
 1.37640000e-03  2.50070086e+00  3.76132248e+00  2.43149472e+00 -3.36664682e-05 
 1.38140000e-03  2.50067811e+00  3.76338675e+00  2.43355968e+00 -3.36516360e-05 
 1.38640000e-03  2.50065469e+00  3.76551782e+00  2.43569140e+00 -3.36363212e-05 
 1.39140000e-03  2.50063062e+00  3.76771356e+00  2.43788774e+00 -3.36205390e-05 
 1.39640000e-03  2.50060593e+00  3.76997177e+00  2.44014652e+00 -3.36043055e-05 
